Review_Text,Sentiment,tf_cluster
realli nice place stay especi busi tourist purpos,2,0
seem hotel check basic amen room hand room travel phone room work creat problem hectic day travel would like relax work pace sent technician kept look fix hour get room chang,0,2
worst hotel ever encount never think stay thii hotel futur,0,2
good time hotel staff kumar aishwarya hous keep guy sure name peopl make stay pleasant happi day sure back place stay chennai good job guy,2,0
good hotel staff veg food good non veg breakfast need improv,2,1
great hotel staff welcom help alway,2,0
hotel mostli clean bathroom need care first bathroom hot water second one took long time drain tub plu paint caulk peel wall plu point great restaur excel custom servic,2,2
awesom hotel need amen luxuri friendli staff great food,2,0
nice comfort,2,0
staff hotel polit brick oven chef extrem help meal good room advertis clean stay day comfort would recommend hotel other,2,0
overal pleasant stay veg restaur best experi decent price,2,0
busi trip stay two day found perfect hotel excel cleanli locat also perfect nice valu money hotel suggest offer least breakfast includ offer case singl occup doubl occup great deal,2,0
locat nagar close shop hub also cult south indian restaur like saravana murugan room spaciou well lit clean room staff courteou staff simpl min check process,2,2
good stay nice locat suggest offer breakfast includ offer also check offer complimentari pick drop airport thing add valu offer certainli increas busi best certainli recommend stay hotel,2,0
valu money pleasant experi improv recept otherwis noth bad hotel breakfast super staff courteou like stay enjoy pleasant stay,2,0
cannot think neg hotel right check check smooth experi rememb one one offer resid zodiac made better locat heart shop district easili access mode staff difficulti understand english rest good,2,2
tabl chair clean valu money pc lan cabl much dust wifi internet speed good bar servic bad one waiter serv custom serv food like tandoori chicken salti,1,2
good experi good hotel stay recommend friend stay accord locat good servic also good rate star hotel continu servic topper,2,1
overal experi hotel good visit hotel famili appear hotel good check checkout time hotel servic good hotel room spaciou clean amen provid room food good hotel complimentari breakfast provid hotel,2,1
take hotel star sinc room small place luggag suitabl place japanes restaur good food small quantiti worth money,2,2
neat clean good servic good locat good servic hous keep etc,2,1
hotel central locat nagar area also luxuri hotel good room staff courteou food restaur best thing hotel lot option eat food tast qualiti good,2,1
could stay nice place hotel good locat good food excel well built cleanli level overal good experi find worth money spent thank,2,1
visit hotel offici purpos facil provid room everyth fine hotel,2,1
nice hotel good amen nice room facil good servic decent breakfast spread valu money situat prime place easi connect easi locat good famili group busi purpos comfort stay,2,1
